n,m,rbc,zbs,rbs,zbc
0,0,5.560070012723911,-0,0,0
1,0,0.279449784400946,-0.2400987260145724,0,0
2,0,-0.00313542296277945,-0.003956872434377328,0,0
3,0,0.001567059792858206,-0.0001444196244159973,0,0
4,0,-0.001525925645051811,0.001610026164278938,0,0
5,0,-5.189134954489244e-05,0.0001125525332691376,0,0
6,0,-0.0003255349187997073,6.835962989031493e-05,0,0
7,0,3.333471559587842e-05,6.753258136530495e-05,0,0
8,0,-0.0002496285806824639,-0.0004058426027866391,0,0
-8,1,0.0001343424273242176,-0.0005557020380093046,0,0
-7,1,-0.0001673574821222325,-0.0001836141847644062,0,0
-6,1,4.782322391095482e-05,0.0008258300401334019,0,0
-5,1,2.166753192974148e-05,0.0002951169975044328,0,0
-4,1,-0.0004279829823607724,0.0004199656621798082,0,0
-3,1,0.0003921581950011702,0.001792775693211033,0,0
-2,1,-0.0006154759610455938,0.004690187825908044,0,0
-1,1,0.0145671844546529,0.002702757507829335,0,0
0,1,0.4690583953521494,0.5875883957803154,0,0
1,1,-0.196900197092812,0.2170096588324372,0,0
2,1,-0.01588569094501108,0.01366471335542515,0,0
3,1,-0.001565194204728671,0.001454984552481306,0,0
4,1,0.0001010822803315931,-0.000402208811981907,0,0
5,1,0.0002923237517860547,-0.0004173509405382276,0,0
6,1,-0.0003180400582727992,-0.0003166257627670682,0,0
7,1,0.0003461789548926545,-9.660103096623497e-06,0,0
8,1,8.052656292209387e-05,0.0002609340376498778,0,0
-8,2,0.0001090864999526009,-0.0002961324285024944,0,0
-7,2,-0.0002565184126331291,0.0003754623036066909,0,0
-6,2,0.0003113548105413988,-0.0004579187902895158,0,0
-5,2,-0.0002233249994001761,0.000233865075217892,0,0
-4,2,0.0002423773769278053,9.092746478025572e-05,0,0
-3,2,0.0001850103384202421,-9.527497676030505e-05,0,0
-2,2,0.001882337010484011,0.0001832401864936412,0,0
-1,2,0.008839436266240692,0.007509470896534615,0,0
0,2,0.02746017724917896,-0.006780123859255411,0,0
1,2,0.03227084049691609,0.02330892409041564,0,0
2,2,0.0619901962196253,-0.04696525110114167,0,0
3,2,-0.000258215856311553,0.001784271417166637,0,0
4,2,0.0004099091366568307,9.357622739897752e-05,0,0
5,2,1.382681006205079e-05,7.632881494194749e-05,0,0
6,2,-9.157053842809323e-05,7.496324843743112e-05,0,0
7,2,-0.0001113887374221707,1.714061841131149e-05,0,0
8,2,-4.051826123309253e-06,4.999258678008778e-05,0,0
-8,3,0.0001111110592510292,-2.607319493906545e-05,0,0
-7,3,4.35298690238608e-05,-5.316974942249082e-05,0,0
-6,3,-9.554706207173894e-05,0.0001249944832451504,0,0
-5,3,5.683539030467231e-05,1.541270877916666e-05,0,0
-4,3,0.0001510123042129354,-0.0002255234596159042,0,0
-3,3,-6.343780006159377e-05,-2.549721259664361e-05,0,0
-2,3,0.0001675314280596505,0.0007481352255094625,0,0
-1,3,-0.0002896451538798796,-0.001388764373419207,0,0
0,3,-5.26326984979399e-05,-0.001704955084293935,0,0
1,3,-0.007721766190074307,-0.005701193915865184,0,0
2,3,-0.01666977323057263,0.004530749169970694,0,0
3,3,-0.01242498005893992,0.009800669863279541,0,0
4,3,0.0002350138051991509,-0.000274321284809309,0,0
5,3,-0.0002448059457281378,0.0002440230152840606,0,0
6,3,0.0001323081662413583,-2.593817066999097e-05,0,0
7,3,0.0001113234241703235,-7.72571160917509e-05,0,0
8,3,4.7968000630856e-05,-3.122424528088694e-05,0,0
-8,4,-0.0001028399288613263,-1.928063836478476e-05,0,0
-7,4,-0.0001451660513119385,0.0001552789996906474,0,0
-6,4,5.796786757030777e-05,-5.092834669802869e-05,0,0
-5,4,-0.0001227606359995952,5.172395211266773e-05,0,0
-4,4,4.801504563241327e-05,8.492354602436526e-05,0,0
-3,4,0.0001824476795372825,-5.970217816301172e-05,0,0
-2,4,4.794007586171862e-05,-0.0001406073275774488,0,0
-1,4,-0.0007314837151290275,-0.0002208493582392673,0,0
0,4,0.002533774262944124,0.003639385672803306,0,0
1,4,0.002993070760530023,-0.00292588892861316,0,0
2,4,0.008181416547388539,0.00799786510443413,0,0
3,4,0.003005700898085344,-0.003125657140620318,0,0
4,4,0.0009293760818205161,-0.001436177656505587,0,0
5,4,-0.0004673976735359468,0.0002723273316307255,0,0
6,4,-3.839503432464605e-05,-4.677721465418518e-05,0,0
7,4,-8.717061476162043e-05,2.29312427486763e-05,0,0
8,4,-5.386420202345059e-05,3.216425337941938e-05,0,0
-8,5,9.514322377928742e-06,1.700645188365069e-05,0,0
-7,5,1.282149018092807e-05,2.915466214749522e-05,0,0
-6,5,-4.830814429463169e-05,-0.0001309108451759247,0,0
-5,5,-8.559029884775767e-05,0.0001704745346110423,0,0
-4,5,0.0001301090495810931,-5.528807717476983e-05,0,0
-3,5,-3.735196463138598e-05,2.603608985750811e-05,0,0
-2,5,-0.0001370446027808343,-8.592201412460785e-05,0,0
-1,5,0.0005490755171096109,0.0003306488352713098,0,0
0,5,0.000522037151808168,0.0008163901523904834,0,0
1,5,0.0007394042652567421,0.001032687703486345,0,0
2,5,-0.00143605614897173,-0.001285913569320614,0,0
3,5,-0.001090758153117932,-0.0008944821026999827,0,0
4,5,0.0008416673249594956,0.0005271694819724312,0,0
5,5,0.0001428400371576806,4.621233159555482e-05,0,0
6,5,0.0001295875620224949,-7.857622821551157e-05,0,0
7,5,2.625047582846338e-05,3.890007592868888e-05,0,0
8,5,3.835942461942273e-05,-1.541970028767639e-05,0,0
-8,6,9.150111711360411e-06,-2.51879248366106e-06,0,0
-7,6,-1.683825463196164e-05,-2.332887784519555e-05,0,0
-6,6,5.381825402222673e-05,1.087569578301345e-05,0,0
-5,6,-3.620417614434756e-06,-4.995607603804708e-05,0,0
-4,6,-2.924082262329158e-05,-1.051888080184891e-05,0,0
-3,6,2.10356024123498e-05,7.138987280774313e-05,0,0
-2,6,0.0001047940619868654,2.895512250542412e-05,0,0
-1,6,-8.251549982000879e-05,3.756740163214309e-05,0,0
0,6,-2.431243269221109e-05,-0.0008986353299246332,0,0
1,6,-0.0005259063310434249,0.0006137378419331,0,0
2,6,-0.001456771468616784,-0.000190216053094364,0,0
3,6,-0.001150543777008427,-0.001167552705335647,0,0
4,6,-0.0008451992684546867,-0.0004345996116691443,0,0
5,6,-0.0008045162566594944,0.0002948366037822245,0,0
6,6,0.0001892034280373651,-0.0001018095641621871,0,0
7,6,1.485480649507488e-05,-9.270553626753094e-06,0,0
8,6,1.637027333325717e-05,-1.791641898814952e-05,0,0
-8,7,-6.985567475281817e-06,-1.078726227063135e-05,0,0
-7,7,-2.45928829108407e-05,-1.319700136876808e-05,0,0
-6,7,-1.28015420286826e-05,-5.541580470416789e-06,0,0
-5,7,-8.934655802675306e-05,5.376678678316588e-06,0,0
-4,7,7.322038964221221e-05,-7.351340042924868e-06,0,0
-3,7,-5.813658508511421e-05,3.678268454764673e-06,0,0
-2,7,2.953014558325474e-05,-3.105132428311202e-06,0,0
-1,7,2.043555142215801e-06,-4.085443052234039e-05,0,0
0,7,-0.000167876102410718,0.0002513211358268614,0,0
1,7,0.0001686670581344849,-0.0005909596316382787,0,0
2,7,0.0005044640534462144,0.0004952240498968611,0,0
3,7,0.0004112905965359523,0.000285974917994303,0,0
4,7,0.0006368334406452842,0.001565541471605197,0,0
5,7,-0.0002382698561652519,0.0003359705356896857,0,0
6,7,-1.241715163018646e-05,-2.053435078320254e-05,0,0
7,7,-0.0001515205950180948,7.231169513892942e-05,0,0
8,7,2.052410991116299e-06,-6.002642814261018e-06,0,0
